"name","url","total_views"
"Google","https://www.google.com",5.207268e+11
"YouTube","https://www.youtube.com",2.358132e+11
"Facebook","https://www.facebook.com",2.230157e+11
"Yahoo","https://www.yahoo.com",1.256544e+11
"Wikipedia","https://www.wikipedia.org",4.467364e+10
"Baidu","https://www.baidu.com",4.409759e+10
"Twitter","https://twitter.com",3.098676e+10
"Yandex","https://yandex.com",2.857980e+10
"Instagram","https://www.instagram.com",2.621520e+10
"AOL","https://www.aol.com",2.321232e+10
"Netscape","https://www.netscape.com",5.750000e+06
"Nope","https://alwaysfails.example.com",0.000000e+00
